0 : 	 my number 18094 	 his number 18094
1 : 	 my number 18406 	 his number 18722
10 : 	 my number 14131 	 his number 17417
1001 : 	 my number 4328 	 his number 4322
1002 : 	 my number 14861 	 his number 14966
1004 : 	 my number 10585 	 his number 8576
101 : 	 my number 27584 	 his number 27582
102 : 	 my number 16321 	 his number 18031
103 : 	 my number 23412 	 his number 25429
104 : 	 my number 17520 	 his number 13516
105 : 	 my number 12462 	 his number 12271
105Ê : 	 my number 19919 	 his number 16880
106 : 	 my number 11367 	 his number 14243
107 : 	 my number 17937 	 his number 17939
108 : 	 my number 28157 	 his number 29011
109 : 	 my number 19136 	 his number 19715
11 : 	 my number 33632 	 his number 38579
110 : 	 my number 14809 	 his number 14796
111 : 	 my number 9907 	 his number 11060
112İ : 	 my number 22213 	 his number 29204
113 : 	 my number 14339 	 his number 16171
1133 : 	 my number 209 	 	 his number 104
114 : 	 my number 22682 	 his number 25259
1147 : 	 my number 3650 	 his number 6779
116 : 	 my number 14444 	 his number 10154
117 : 	 my number 6935 	 his number 4849
118 : 	 my number 14026 	 his number 13122
12 : 	 my number 18876 	 his number 20072
120 : 	 my number 26489 	 his number 15750
121 : 	 my number 13088 	 his number 17259
122 : 	 my number 17468 	 his number 18095
123 : 	 my number 36083 	 his number 42065
124 : 	 my number 48754 	 his number 46386
126 : 	 my number 11211 	 his number 12262
127 : 	 my number 1616 	 his number 40301
129 : 	 my number 5319 	 his number 7873
130 : 	 my number 22109 	 his number 18620
131 : 	 my number 17624 	 his number 17500
133 : 	 my number 24090 	 his number 24085
134 : 	 my number 30243 	 his number 30432
135 : 	 my number 13036 	 his number 13638
136 : 	 my number 16216 	 his number 16266
137 : 	 my number 19919 	 his number 19654
14 : 	 my number 32068 	 his number 37960
142 : 	 my number 15747 	 his number 19763
143 : 	 my number 14026 	 his number 16600
144 : 	 my number 40776 	 his number 43962
144Ê : 	 my number 39524 	 his number 43698
146 : 	 my number 21066 	 his number 20808
147 : 	 my number 3650 	 his number 3647
147Ê : 	 my number 21222 	 his number 20955
148 : 	 my number 2346 	 his number 21379
149 : 	 my number 18041 	 his number 25083
15 : 	 my number 5892 	 his number 30663
150 : 	 my number 41297 	 his number 31701
151 : 	 my number 17051 	 his number 17049
151Ê : 	 my number 5214 	 his number 5209
152 : 	 my number 18094 	 his number 18103
153 : 	 my number 14965 	 his number 18717
154 : 	 my number 23569 	 his number 21580
155 : 	 my number 16529 	 his number 18714
156 : 	 my number 19919 	 his number 25292
157 : 	 my number 45416 	 his number 45416
157Ê : 	 my number 28887 	 his number 29621
158 : 	 my number 27896 	 his number 30087
159 : 	 my number 13349 	 his number 15953
16 : 	 my number 24403 	 his number 25551
160 : 	 my number 16164 	 his number 16171
161 : 	 my number 6518 	 his number 10692
162 : 	 my number 19501 	 his number 18371
163 : 	 my number 27584 	 his number 26753
164 : 	 my number 26176 	 his number 26228
165 : 	 my number 16164 	 his number 16166
166 : 	 my number 25341 	 his number 18787
167 : 	 my number 32537 	 his number 56400
168 : 	 my number 23151 	 his number 26240
169 : 	 my number 10064 	 his number 10066
17 : 	 my number 730 	 	 his number 1719
170 : 	 my number 37074 	 his number 50758
171 : 	 my number 20127 	 his number 23677
173 : 	 my number 24038 	 his number 31286
174 : 	 my number 19397 	 his number 21229
175 : 	 my number 10429 	 his number 10428
176 : 	 my number 30191 	 his number 33846
177 : 	 my number 24507 	 his number 27319
179 : 	 my number 28001 	 his number 31777
18 : 	 my number 5475 	 his number 4745
180 : 	 my number 13714 	 his number 13316
181 : 	 my number 42705 	 his number 40943
182 : 	 my number 16112 	 his number 22310
183 : 	 my number 13870 	 his number 13520
184 : 	 my number 28209 	 his number 28201
185 : 	 my number 21744 	 his number 23358
186 : 	 my number 9959 	 his number 10688
187 : 	 my number 19501 	 his number 17205
189 : 	 my number 12201 	 his number 19698
192 : 	 my number 32694 	 his number 33217
193 : 	 my number 19084 	 his number 25336
194 : 	 my number 24768 	 his number 35306
196 : 	 my number 8551 	 his number 7510
197 : 	 my number 22578 	 his number 22578
198 : 	 my number 17311 	 his number 17316
199 : 	 my number 21274 	 his number 24603
2 : 	 my number 53968 	 his number 63578
20 : 	 my number 13505 	 his number 13509
200 : 	 my number 36969 	 his number 31709
202 : 	 my number 21483 	 his number 21990
203 : 	 my number 28626 	 his number 33374
